"id","ts","lat","lon","temp","light"
"82","2024-04-23 13:22:38","13.8441","100.57","37.75","70.6269"
"83","2024-04-23 13:32:38","13.8441","100.57","37.5","67.3983"
"84","2024-04-23 13:42:38","13.8441","100.57","37.5","63.795"
"85","2024-04-23 13:52:38","13.8441","100.57","37.75","59.6406"
"86","2024-04-23 14:02:38","13.8441","100.57","37.75","55.8405"
"87","2024-04-23 14:12:39","13.8441","100.57","37.75","52.8464"
"88","2024-04-23 14:22:39","13.8441","100.57","37.75","50.5525"
"89","2024-04-23 14:32:39","13.8441","100.57","37.75","47.7674"
"90","2024-04-23 14:42:39","13.8441","100.57","37.75","46.0395"
"91","2024-04-23 14:52:39","13.8441","100.57","37.5","44.4812"
"92","2024-04-23 15:02:39","13.8441","100.57","37.5","43.219"
"93","2024-04-23 15:12:39","13.8441","100.57","37.75","42.0802"
"94","2024-04-23 15:22:39","13.8441","100.57","37.25","40.4226"
"95","2024-04-23 15:32:39","13.8441","100.57","37","38.8927"
"96","2024-04-23 15:42:39","13.8441","100.57","37.25","38.3717"
"97","2024-04-23 15:52:39","13.8441","100.57","37","35.6715"
"98","2024-04-23 16:02:39","13.8441","100.57","37","35.2403"
"99","2024-04-23 16:12:39","13.8441","100.57","36.75","34.2468"
"100","2024-04-23 16:22:39","13.8441","100.57","37.25","32.193"
"101","2024-04-23 16:32:39","13.8441","100.57","36.75","30.574"
"102","2024-04-23 16:42:39","13.8441","100.57","36.75","29.0716"
"103","2024-04-23 16:52:39","13.8441","100.57","36.75","27.2304"
"104","2024-04-23 17:02:39","13.8441","100.57","36.75","24.5321"
"105","2024-04-23 17:12:39","13.8441","100.57","36.5","24.8178"
"106","2024-04-23 17:22:39","13.8441","100.57","36.5","24.4849"
"107","2024-04-23 17:32:39","13.8441","100.57","36.25","23.6875"
"108","2024-04-23 17:42:40","13.8441","100.57","36","23.9289"
"109","2024-04-23 17:52:40","13.8441","100.57","36","23.6875"
"110","2024-04-23 18:02:40","13.8441","100.57","35.75","22.7559"
"111","2024-04-23 18:12:40","13.8441","100.57","35.75","22.3094"
"112","2024-04-23 18:22:40","13.8441","100.57","35.5","21.8751"
