"id","ts","lat","lon","pm25"
"100","2024-04-22 17:35:54","13.8524","100.562","111"
"101","2024-04-22 18:35:54","13.8524","100.562","95"
"102","2024-04-22 19:35:56","13.8524","100.562","88"
"103","2024-04-22 20:35:54","13.8524","100.562","84"
"104","2024-04-22 21:35:54","13.8524","100.562","84"
"105","2024-04-22 22:35:54","13.8524","100.562","84"
"106","2024-04-22 23:35:53","13.8524","100.562","88"
"107","2024-04-23 00:35:54","13.8524","100.562","90"
"108","2024-04-23 01:35:55","13.8524","100.562","93"
"109","2024-04-23 02:35:54","13.8524","100.562","95"
"110","2024-04-23 03:35:53","13.8524","100.562","97"
"111","2024-04-23 04:35:56","13.8524","100.562","99"
"112","2024-04-23 05:35:54","13.8524","100.562","101"
"113","2024-04-23 06:35:54","13.8524","100.562","104"
"114","2024-04-23 06:35:54","13.8524","100.562","104"
"115","2024-04-23 08:36:06","13.8524","100.562","121"
"116","2024-04-23 09:06:06","13.8524","100.562","124"
"117","2024-04-23 10:36:06","13.8524","100.562","124"
"118","2024-04-23 11:36:06","13.8524","100.562","136"
"119","2024-04-23 12:36:05","13.8524","100.562","124"
"120","2024-04-23 13:36:05","13.8524","100.562","114"
"121","2024-04-23 14:36:07","13.8524","100.562","104"
"122","2024-04-23 15:36:06","13.8524","100.562","95"
"123","2024-04-23 16:36:06","13.8524","100.562","88"
"124","2024-04-23 17:36:06","13.8524","100.562","78"
"125","2024-04-23 18:36:05","13.8524","100.562","73"
"126","2024-04-23 19:36:05","13.8524","100.562","78"
"127","2024-04-23 20:36:06","13.8524","100.562","78"
"128","2024-04-23 21:26:06","13.8524","100.562","76"
"129","2024-04-23 22:36:06","13.8524","100.562","76"
"130","2024-04-23 23:36:06","13.8524","100.562","76"
"131","2024-04-24 00:36:05","13.8524","100.562","78"
"132","2024-04-24 01:36:05","13.8524","100.562","78"
"133","2024-04-24 02:06:06","13.8524","100.562","80"
"134","2024-04-24 03:36:06","13.8524","100.562","78"
"135","2024-04-24 04:36:05","13.8524","100.562","78"
"136","2024-04-24 05:06:06","13.8524","100.562","80"
"137","2024-04-24 06:36:05","13.8524","100.562","84"
"138","2024-04-24 07:26:07","13.8524","100.562","86"
"139","2024-04-24 08:36:05","13.8524","100.562","88"
"140","2024-04-24 09:36:05","13.8524","100.562","90"
"141","2024-04-24 10:36:06","13.8524","100.562","90"
"142","2024-04-24 11:36:06","13.8524","100.562","90"
"143","2024-04-24 12:36:05","13.8524","100.562","88"
"144","2024-04-24 13:36:06","13.8524","100.562","84"
"145","2024-04-24 14:36:06","13.8524","100.562","71"
"146","2024-04-24 15:36:06","13.8524","100.562","76"
"147","2024-04-24 16:36:06","13.8524","100.562","73"
"148","2024-04-24 17:36:06","13.8524","100.562","73"
"149","2024-04-24 18:36:06","13.8524","100.562","71"
"150","2024-04-24 19:36:07","13.8524","100.562","65"
"151","2024-04-24 20:36:06","13.8524","100.562","63"
"152","2024-04-24 21:36:06","13.8524","100.562","61"
"153","2024-04-24 22:36:07","13.8524","100.562","63"
"154","2024-04-24 23:16:05","13.8524","100.562","65"
"155","2024-04-25 00:36:05","13.8524","100.562","61"
"156","2024-04-25 01:26:07","13.8524","100.562","61"
"157","2024-04-25 02:36:15","13.8524","100.562","61"
"158","2024-04-25 03:36:16","13.8524","100.562","63"
"159","2024-04-25 04:16:15","13.8524","100.562","65"
"160","2024-04-25 05:36:15","13.8524","100.562","67"
"161","2024-04-25 06:36:24","13.8524","100.562","67"
"162","2024-04-25 07:36:24","13.8524","100.562","65"
"163","2024-04-25 08:36:24","13.8524","100.562","65"
"164","2024-04-25 11:26:24","13.8524","100.562","78"
"165","2024-04-25 12:26:24","13.8524","100.562","78"
"166","2024-04-25 13:06:25","13.8524","100.562","78"
"167","2024-04-25 14:26:24","13.8524","100.562","67"
"168","2024-04-25 15:26:45","13.8524","100.562","63"
